system,task,model,precision,input_tokens,output_tokens,batch,concurrency,metric,runs,mean,std,ci95_low,ci95_high,data_source
default,ttft,llama3-8b,fp16,128,1,1,1,latency_ms,5,495.61026000000004,16.201933388067843,475.49612772054854,515.7243922794515,synthetic_expected_projection_not_measured
default,ttft,llama4-17b,fp16,128,1,1,1,latency_ms,5,825.8525389999999,8.57377950830429,815.2084923276509,836.4965856723488,synthetic_expected_projection_not_measured
default,ttft,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,1232.342223,39.9138719223229,1182.7905503445659,1281.8938956554343,synthetic_expected_projection_not_measured
default,ttft,vit-h14,fp16,0,1,1,1,latency_ms,5,274.165604,8.121728636818487,264.0827626361979,284.24844536380203,synthetic_expected_projection_not_measured
flexgen,continuation,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,14.960783000000001,0.41695262063872485,14.443150939373968,15.478415060626034,synthetic_expected_projection_not_measured
flexgen,continuation,llama3-8b,fp16,128,1,1,1,latency_ms,5,18.626108,0.3692829006601851,18.167656225479753,19.084559774520244,synthetic_expected_projection_not_measured
flexgen,continuation,llama4-17b,fp16,128,1,1,1,latency_ms,5,30.606727999999997,1.0028737173156463,29.361695439594083,31.85176056040591,synthetic_expected_projection_not_measured
flexgen,continuation,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,45.431683,1.1586305697762342,43.993283767926954,46.870082232073045,synthetic_expected_projection_not_measured
flexgen,continuation,vit-h14,fp16,0,1,1,1,latency_ms,5,5.7830129999999995,0.036353344000242774,5.737881597931663,5.828144402068336,synthetic_expected_projection_not_measured
flexgen,generation,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,2279.434051,26.208090865615915,2246.897625016968,2311.9704769830323,synthetic_expected_projection_not_measured
flexgen,generation,llama3-8b,fp16,128,64,1,1,latency_ms,5,2814.824216,68.46840991267905,2729.8230855200054,2899.8253464799946,synthetic_expected_projection_not_measured
flexgen,generation,llama4-17b,fp16,128,64,1,1,latency_ms,5,4844.36915,80.0919348773271,4744.937820784303,4943.800479215698,synthetic_expected_projection_not_measured
flexgen,generation,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,7052.305843,116.16538106832094,6908.090595033243,7196.521090966758,synthetic_expected_projection_not_measured
flexgen,generation,vit-h14,fp16,0,0,1,1,latency_ms,5,897.8217510000001,18.502359507503535,874.8517203436603,920.7917816563398,synthetic_expected_projection_not_measured
flexgen,scoring,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,134.076344,3.959565902293453,129.16068175029648,138.99200624970354,synthetic_expected_projection_not_measured
flexgen,scoring,llama3-8b,fp16,128,64,1,1,latency_ms,5,167.79386300000002,4.523618291111928,162.1779494846302,173.40977651536983,synthetic_expected_projection_not_measured
flexgen,scoring,llama4-17b,fp16,128,64,1,1,latency_ms,5,279.555152,7.794930038150276,269.8780196392477,289.2322843607523,synthetic_expected_projection_not_measured
flexgen,scoring,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,419.859272,12.156732447839651,404.7671148675784,434.95142913242154,synthetic_expected_projection_not_measured
flexgen,scoring,vit-h14,fp16,0,0,1,1,latency_ms,5,97.428826,3.0680343098114116,93.61996896625301,101.23768303374699,synthetic_expected_projection_not_measured
flexgen,ttft,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,352.059081,7.703300928310215,342.49570296669907,361.6224590333009,synthetic_expected_projection_not_measured
flexgen,ttft,llama3-8b,fp16,128,1,1,1,latency_ms,5,449.803035,9.20023576096218,438.38126485283846,461.2248051471616,synthetic_expected_projection_not_measured
flexgen,ttft,llama4-17b,fp16,128,1,1,1,latency_ms,5,735.498224,11.39092444431443,721.3567906555749,749.6396573444252,synthetic_expected_projection_not_measured
flexgen,ttft,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,1074.661313,27.336514569980018,1040.723988549285,1108.5986374507152,synthetic_expected_projection_not_measured
flexgen,ttft,vit-h14,fp16,0,1,1,1,latency_ms,5,258.385754,3.3820422336611204,254.18706713756353,262.5844408624365,synthetic_expected_projection_not_measured
neo,continuation,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,13.73291,0.4723653581709813,13.146484968436859,14.319335031563142,synthetic_expected_projection_not_measured
neo,continuation,llama3-8b,fp16,128,1,1,1,latency_ms,5,17.089971,0.5361023637492189,16.42441871056028,17.75552328943972,synthetic_expected_projection_not_measured
neo,continuation,llama4-17b,fp16,128,1,1,1,latency_ms,5,28.006769000000002,0.6447097803895967,27.206384410456955,28.80715358954305,synthetic_expected_projection_not_measured
neo,continuation,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,41.932134,0.9363512462572466,40.76968675520895,43.094581244791044,synthetic_expected_projection_not_measured
neo,continuation,vit-h14,fp16,0,1,1,1,latency_ms,5,5.263017,0.05870884969491412,5.190132021370991,5.335901978629008,synthetic_expected_projection_not_measured
neo,generation,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,2121.548127,51.10000286643667,2058.1092649508064,2184.9869890491937,synthetic_expected_projection_not_measured
neo,generation,llama3-8b,fp16,128,64,1,1,latency_ms,5,2632.547412,62.67683484515269,2554.7363189201337,2710.358505079866,synthetic_expected_projection_not_measured
neo,generation,llama4-17b,fp16,128,64,1,1,latency_ms,5,4422.755482,36.23870149442711,4377.766404583394,4467.744559416605,synthetic_expected_projection_not_measured
neo,generation,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,6550.819052,19.43931281370404,6526.685826662557,6574.952277337443,synthetic_expected_projection_not_measured
neo,generation,vit-h14,fp16,0,0,1,1,latency_ms,5,831.23071,16.30028887075624,810.9944728370251,851.466947162975,synthetic_expected_projection_not_measured
neo,scoring,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,121.87086500000001,2.1461569526277677,119.2064863851977,124.53524361480231,synthetic_expected_projection_not_measured
neo,scoring,llama3-8b,fp16,128,64,1,1,latency_ms,5,150.64685500000002,4.60374303849188,144.93146941984287,156.36224058015716,synthetic_expected_projection_not_measured
neo,scoring,llama4-17b,fp16,128,64,1,1,latency_ms,5,255.41204499999998,7.81015191417477,245.7160152138254,265.1080747861746,synthetic_expected_projection_not_measured
neo,scoring,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,376.135011,8.623406663166392,365.4293539547628,386.84066804523724,synthetic_expected_projection_not_measured
neo,scoring,vit-h14,fp16,0,0,1,1,latency_ms,5,88.34430499999999,1.4829689164687507,86.5032510814513,90.18535891854869,synthetic_expected_projection_not_measured
neo,ttft,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,325.957422,4.206328123040636,320.7354131044489,331.1794308955511,synthetic_expected_projection_not_measured
neo,ttft,llama3-8b,fp16,128,1,1,1,latency_ms,5,401.400446,12.157026390395801,386.30792394820025,416.4929680517997,synthetic_expected_projection_not_measured
neo,ttft,llama4-17b,fp16,128,1,1,1,latency_ms,5,669.8734710000001,19.63727812389691,645.4944786703973,694.252463329603,synthetic_expected_projection_not_measured
neo,ttft,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,1022.319247,47.232118552068954,963.6822277233551,1080.9562662766448,synthetic_expected_projection_not_measured
neo,ttft,vit-h14,fp16,0,1,1,1,latency_ms,5,229.61685200000002,5.681765530975596,222.5631392896986,236.67056471030145,synthetic_expected_projection_not_measured
ramses,continuation,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,10.776513,0.13666625793333162,10.60684663214336,10.946179367856638,synthetic_expected_projection_not_measured
ramses,continuation,llama3-8b,fp16,128,1,1,1,latency_ms,5,13.479458,0.28228904047093273,13.129006052996353,13.829909947003646,synthetic_expected_projection_not_measured
ramses,continuation,llama4-17b,fp16,128,1,1,1,latency_ms,5,22.605629999999998,0.27941010365589813,22.258752152119882,22.952507847880113,synthetic_expected_projection_not_measured
ramses,continuation,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,33.054606,0.833578721570435,32.019747241516775,34.089464758483224,synthetic_expected_projection_not_measured
ramses,continuation,vit-h14,fp16,0,1,1,1,latency_ms,5,4.168849,0.10955159774051705,4.032844532162795,4.304853467837205,synthetic_expected_projection_not_measured
ramses,generation,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,1677.8449,60.24266740466135,1603.0557404582903,1752.6340595417098,synthetic_expected_projection_not_measured
ramses,generation,llama3-8b,fp16,128,64,1,1,latency_ms,5,2086.959871,48.41700575427345,2026.8518558026508,2147.0678861973493,synthetic_expected_projection_not_measured
ramses,generation,llama4-17b,fp16,128,64,1,1,latency_ms,5,3460.90291,48.820770576873386,3400.2936349309402,3521.5121850690593,synthetic_expected_projection_not_measured
ramses,generation,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,5091.60689,121.40782167346299,4940.883335816118,5242.330444183882,synthetic_expected_projection_not_measured
ramses,generation,vit-h14,fp16,0,0,1,1,latency_ms,5,639.9972369999999,16.68333110311141,619.2854663345925,660.7090076654074,synthetic_expected_projection_not_measured
ramses,scoring,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,96.254167,2.2290469302977907,93.48688338395114,99.02145061604885,synthetic_expected_projection_not_measured
ramses,scoring,llama3-8b,fp16,128,64,1,1,latency_ms,5,124.149542,1.998227589079249,121.66881250380358,126.63027149619641,synthetic_expected_projection_not_measured
ramses,scoring,llama4-17b,fp16,128,64,1,1,latency_ms,5,198.532253,3.5213452447974287,194.16062633304702,202.90387966695297,synthetic_expected_projection_not_measured
ramses,scoring,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,301.610439,3.434803995480296,297.3462502600339,305.87462773996606,synthetic_expected_projection_not_measured
ramses,scoring,vit-h14,fp16,0,0,1,1,latency_ms,5,68.434451,1.4424042958607346,66.6437566357855,70.2251453642145,synthetic_expected_projection_not_measured
ramses,ttft,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,259.248,4.289228243342563,253.92307351148045,264.57292648851956,synthetic_expected_projection_not_measured
ramses,ttft,llama3-8b,fp16,128,1,1,1,latency_ms,5,312.66641300000003,8.362929419868815,302.2841293202732,323.04869667972685,synthetic_expected_projection_not_measured
ramses,ttft,llama4-17b,fp16,128,1,1,1,latency_ms,5,537.852394,14.057182615214623,520.4008946124599,555.3038933875401,synthetic_expected_projection_not_measured
ramses,ttft,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,797.807946,23.21610487468835,768.9859657289905,826.6299262710095,synthetic_expected_projection_not_measured
ramses,ttft,vit-h14,fp16,0,1,1,1,latency_ms,5,179.12750499999999,2.570096566262154,175.93682021772378,182.3181897822762,synthetic_expected_projection_not_measured
ramses_policy_off,continuation,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,11.955978,0.12442356381529951,11.801510507675607,12.110445492324393,synthetic_expected_projection_not_measured
ramses_policy_off,continuation,llama3-8b,fp16,128,1,1,1,latency_ms,5,14.52165,0.35552725540737373,14.080275376803437,14.963024623196562,synthetic_expected_projection_not_measured
ramses_policy_off,continuation,llama4-17b,fp16,128,1,1,1,latency_ms,5,24.736933,0.7888432798851751,23.757611723994003,25.716254276005998,synthetic_expected_projection_not_measured
ramses_policy_off,continuation,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,35.727169,1.259776029332197,34.163201225935985,37.29113677406402,synthetic_expected_projection_not_measured
ramses_policy_off,continuation,vit-h14,fp16,0,1,1,1,latency_ms,5,4.506294,0.1363009375609717,4.337081164577919,4.67550683542208,synthetic_expected_projection_not_measured
ramses_policy_off,generation,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,1823.4675889999999,48.52180977630463,1763.229463283612,1883.7057147163878,synthetic_expected_projection_not_measured
ramses_policy_off,generation,llama3-8b,fp16,128,64,1,1,latency_ms,5,2266.39554,55.77815458538737,2197.148916602546,2335.642163397454,synthetic_expected_projection_not_measured
ramses_policy_off,generation,llama4-17b,fp16,128,64,1,1,latency_ms,5,3736.521544,111.49767574344274,3598.101088549501,3874.941999450499,synthetic_expected_projection_not_measured
ramses_policy_off,generation,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,5528.344448000001,126.49122371604089,5371.310028398702,5685.378867601299,synthetic_expected_projection_not_measured
ramses_policy_off,generation,vit-h14,fp16,0,0,1,1,latency_ms,5,707.1681550000001,10.560498884262637,694.0576658745791,720.278644125421,synthetic_expected_projection_not_measured
ramses_policy_off,scoring,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,106.43500100000001,4.067338926268924,101.38554231943377,111.48445968056626,synthetic_expected_projection_not_measured
ramses_policy_off,scoring,llama3-8b,fp16,128,64,1,1,latency_ms,5,132.61175699999998,1.0679464735744089,131.28593889407756,133.9375751059224,synthetic_expected_projection_not_measured
ramses_policy_off,scoring,llama4-17b,fp16,128,64,1,1,latency_ms,5,220.19989100000004,7.473750188109544,210.9214921628636,229.4782898371365,synthetic_expected_projection_not_measured
ramses_policy_off,scoring,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,323.581342,8.37153797618799,313.1883710994094,333.97431290059063,synthetic_expected_projection_not_measured
ramses_policy_off,scoring,vit-h14,fp16,0,0,1,1,latency_ms,5,74.687381,1.197216444635218,73.20107875706755,76.17368324293246,synthetic_expected_projection_not_measured
ramses_policy_off,ttft,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,273.982219,3.610778758733023,269.49956376093587,278.4648742390641,synthetic_expected_projection_not_measured
ramses_policy_off,ttft,llama3-8b,fp16,128,1,1,1,latency_ms,5,348.128321,10.693269658233287,334.85300161349073,361.4036403865093,synthetic_expected_projection_not_measured
ramses_policy_off,ttft,llama4-17b,fp16,128,1,1,1,latency_ms,5,578.7744660000001,9.321843034023898,567.2017246867487,590.3472073132515,synthetic_expected_projection_not_measured
ramses_policy_off,ttft,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,877.179098,28.57185880244879,841.7081369944751,912.6500590055248,synthetic_expected_projection_not_measured
ramses_policy_off,ttft,vit-h14,fp16,0,1,1,1,latency_ms,5,199.3224,4.2592074037959256,194.03474333128023,204.61005666871975,synthetic_expected_projection_not_measured
specoffload,continuation,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,13.384073,0.21317346887570074,13.119425612016466,13.648720387983536,synthetic_expected_projection_not_measured
specoffload,continuation,llama3-8b,fp16,128,1,1,1,latency_ms,5,16.65629,0.24918814583563154,16.346931653205385,16.965648346794612,synthetic_expected_projection_not_measured
specoffload,continuation,llama4-17b,fp16,128,1,1,1,latency_ms,5,27.909696000000004,0.697636969485204,27.043604160763373,28.775787839236635,synthetic_expected_projection_not_measured
specoffload,continuation,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,40.517524,1.8616594616477251,38.206339046082576,42.82870895391743,synthetic_expected_projection_not_measured
specoffload,continuation,vit-h14,fp16,0,1,1,1,latency_ms,5,5.2017180000000005,0.10879601236947993,5.066651564910952,5.336784435089049,synthetic_expected_projection_not_measured
specoffload,generation,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,2016.605621,37.53769464249282,1970.0038891313318,2063.207352868668,synthetic_expected_projection_not_measured
specoffload,generation,llama3-8b,fp16,128,64,1,1,latency_ms,5,2586.672535,51.0623320371268,2523.2804399646975,2650.064630035303,synthetic_expected_projection_not_measured
specoffload,generation,llama4-17b,fp16,128,64,1,1,latency_ms,5,4223.886796000001,58.43417465153306,4151.342816807547,4296.430775192454,synthetic_expected_projection_not_measured
specoffload,generation,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,6197.121859000001,132.05127060705357,6033.184836112594,6361.058881887408,synthetic_expected_projection_not_measured
specoffload,generation,vit-h14,fp16,0,0,1,1,latency_ms,5,795.12513,27.026817991544558,761.5722829937937,828.6779770062063,synthetic_expected_projection_not_measured
specoffload,scoring,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,118.42142000000001,3.6893183008314594,113.84126067293005,123.00157932706998,synthetic_expected_projection_not_measured
specoffload,scoring,llama3-8b,fp16,128,64,1,1,latency_ms,5,150.33304600000002,4.022611461060458,145.3391148993947,155.32697710060535,synthetic_expected_projection_not_measured
specoffload,scoring,llama4-17b,fp16,128,64,1,1,latency_ms,5,251.18455600000001,4.0590584980747115,246.14537718073424,256.2237348192658,synthetic_expected_projection_not_measured
specoffload,scoring,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,369.786971,15.194223301026037,350.9238754644117,388.6500665355883,synthetic_expected_projection_not_measured
specoffload,scoring,vit-h14,fp16,0,0,1,1,latency_ms,5,83.798768,1.2529150235830024,82.24331792403434,85.35421807596565,synthetic_expected_projection_not_measured
specoffload,ttft,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,317.159635,7.805184657472064,307.46977188887524,326.8494981111247,synthetic_expected_projection_not_measured
specoffload,ttft,llama3-8b,fp16,128,1,1,1,latency_ms,5,397.115314,11.353596765252629,383.020221660463,411.21040633953703,synthetic_expected_projection_not_measured
specoffload,ttft,llama4-17b,fp16,128,1,1,1,latency_ms,5,659.319341,15.699403139343136,639.8290824061864,678.8095995938136,synthetic_expected_projection_not_measured
specoffload,ttft,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,962.797769,22.635240848270005,934.6969110533397,990.8986269466603,synthetic_expected_projection_not_measured
specoffload,ttft,vit-h14,fp16,0,1,1,1,latency_ms,5,223.606971,8.590335065349175,212.94237118399928,234.2715708160007,synthetic_expected_projection_not_measured
swapadvisor,continuation,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,14.337877,0.31831545251134147,13.942699525494278,14.733054474505723,synthetic_expected_projection_not_measured
swapadvisor,continuation,llama3-8b,fp16,128,1,1,1,latency_ms,5,18.071181000000003,0.5400364717938035,17.4007446533484,18.741617346651605,synthetic_expected_projection_not_measured
swapadvisor,continuation,llama4-17b,fp16,128,1,1,1,latency_ms,5,29.424191999999998,1.0042696362133037,28.177426455222015,30.67095754477798,synthetic_expected_projection_not_measured
swapadvisor,continuation,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,43.950155,0.31203662701676554,43.56277246721713,44.337537532782875,synthetic_expected_projection_not_measured
swapadvisor,continuation,vit-h14,fp16,0,1,1,1,latency_ms,5,5.677828,0.024654592523503518,5.64722018774477,5.70843581225523,synthetic_expected_projection_not_measured
swapadvisor,generation,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,2194.715351,45.26451575182009,2138.5210416178898,2250.90966038211,synthetic_expected_projection_not_measured
swapadvisor,generation,llama3-8b,fp16,128,64,1,1,latency_ms,5,2806.899417,91.76928725560803,2692.9710642017044,2920.827769798296,synthetic_expected_projection_not_measured
swapadvisor,generation,llama4-17b,fp16,128,64,1,1,latency_ms,5,4639.526728,107.56103491902752,4505.993474118746,4773.059981881253,synthetic_expected_projection_not_measured
swapadvisor,generation,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,6998.737607,89.4064171628307,6887.7426745822795,7109.732539417721,synthetic_expected_projection_not_measured
swapadvisor,generation,vit-h14,fp16,0,0,1,1,latency_ms,5,865.2220679999998,25.20598162333977,833.9297255084139,896.5144104915857,synthetic_expected_projection_not_measured
swapadvisor,scoring,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,128.773991,2.8033876192996425,125.2936835543036,132.2542984456964,synthetic_expected_projection_not_measured
swapadvisor,scoring,llama3-8b,fp16,128,64,1,1,latency_ms,5,163.27022200000002,3.5918107126970047,158.81111492509098,167.72932907490906,synthetic_expected_projection_not_measured
swapadvisor,scoring,llama4-17b,fp16,128,64,1,1,latency_ms,5,266.61977,7.979298771036372,256.71375032113315,276.5257896788669,synthetic_expected_projection_not_measured
swapadvisor,scoring,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,393.36753,9.032678425970204,382.15377640985645,404.5812835901435,synthetic_expected_projection_not_measured
swapadvisor,scoring,vit-h14,fp16,0,0,1,1,latency_ms,5,92.404548,1.7446972573257504,90.238567522183,94.570528477817,synthetic_expected_projection_not_measured
swapadvisor,ttft,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,337.14482499999997,6.676815984647921,328.85579203683085,345.4338579631691,synthetic_expected_projection_not_measured
swapadvisor,ttft,llama3-8b,fp16,128,1,1,1,latency_ms,5,432.03493,15.898187779245873,412.2978872449164,451.77197275508354,synthetic_expected_projection_not_measured
swapadvisor,ttft,llama4-17b,fp16,128,1,1,1,latency_ms,5,702.384619,12.783740030299864,686.5140539361454,718.2551840638547,synthetic_expected_projection_not_measured
swapadvisor,ttft,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,1047.899204,29.750918190573874,1010.9644821006339,1084.8339258993662,synthetic_expected_projection_not_measured
swapadvisor,ttft,vit-h14,fp16,0,1,1,1,latency_ms,5,243.68814600000002,6.418650343958026,235.71961662874608,251.65667537125395,synthetic_expected_projection_not_measured
vllm,continuation,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,12.492951999999999,0.45215392620489364,11.931618752632343,13.054285247367655,synthetic_expected_projection_not_measured
vllm,continuation,llama3-8b,fp16,128,1,1,1,latency_ms,5,15.726118,0.5457934017052599,15.048534626694908,16.40370137330509,synthetic_expected_projection_not_measured
vllm,continuation,llama4-17b,fp16,128,1,1,1,latency_ms,5,26.565174000000003,0.3828914210549755,26.089827724509274,27.04052027549073,synthetic_expected_projection_not_measured
vllm,continuation,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,38.614211999999995,0.7935774468317517,37.62901342170447,39.59941057829552,synthetic_expected_projection_not_measured
vllm,continuation,vit-h14,fp16,0,1,1,1,latency_ms,5,4.772208,0.1814285308186121,4.546970839671982,4.997445160328018,synthetic_expected_projection_not_measured
vllm,generation,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,1958.487473,90.97087828999723,1845.550316941176,2071.424629058824,synthetic_expected_projection_not_measured
vllm,generation,llama3-8b,fp16,128,64,1,1,latency_ms,5,2372.6188,38.79974991918109,2324.4502707515835,2420.787329248417,synthetic_expected_projection_not_measured
vllm,generation,llama4-17b,fp16,128,64,1,1,latency_ms,5,3988.9162450000003,40.33961863579898,3938.8360227259936,4038.996467274007,synthetic_expected_projection_not_measured
vllm,generation,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,5974.625666,84.54182472164386,5869.669954550792,6079.581377449208,synthetic_expected_projection_not_measured
vllm,generation,vit-h14,fp16,0,0,1,1,latency_ms,5,756.672987,12.302157920090023,741.4002892422355,771.9456847577645,synthetic_expected_projection_not_measured
vllm,scoring,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,111.456791,1.8427928283633805,109.16902830986182,113.74455369013818,synthetic_expected_projection_not_measured
vllm,scoring,llama3-8b,fp16,128,64,1,1,latency_ms,5,138.235318,2.034424100011474,135.70965180449082,140.7609841955092,synthetic_expected_projection_not_measured
vllm,scoring,llama4-17b,fp16,128,64,1,1,latency_ms,5,230.67821899999998,4.08865176744945,225.60230117431271,235.75413682568725,synthetic_expected_projection_not_measured
vllm,scoring,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,336.09598900000003,7.834274702680201,326.3700116176142,345.8219663823859,synthetic_expected_projection_not_measured
vllm,scoring,vit-h14,fp16,0,0,1,1,latency_ms,5,78.545963,2.3401871319421224,75.64070272006205,81.45122327993795,synthetic_expected_projection_not_measured
vllm,ttft,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,296.16164,9.112269244168138,284.8490771994296,307.47420280057037,synthetic_expected_projection_not_measured
vllm,ttft,llama3-8b,fp16,128,1,1,1,latency_ms,5,367.59868500000005,13.461682960042545,350.88647755679784,384.31089244320225,synthetic_expected_projection_not_measured
vllm,ttft,llama4-17b,fp16,128,1,1,1,latency_ms,5,622.966854,17.64326144080912,601.0633634744349,644.8703445255651,synthetic_expected_projection_not_measured
vllm,ttft,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,913.9091270000001,18.74448631435681,890.6385044016496,937.1797495983507,synthetic_expected_projection_not_measured
vllm,ttft,vit-h14,fp16,0,1,1,1,latency_ms,5,214.654907,6.49270101211314,206.59444632036588,222.71536767963414,synthetic_expected_projection_not_measured
